# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: H2O Plumbers
# Property: www.h2oplumbers.com - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20250101
# End date: 20251030
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/,1095,5525,0.19819004524886877,28.21737556561086,20773,0,0
/2641-2/,0,1,0,0,21,0,0
/],0,1,0,0,3,0,0
/about-h2o-plumbing/,0,5,0,0,17,0,0
/about/,0,225,0,0,484,0,0
/about/<div class=,0,1,0,0,1,0,0
/aclk,0,1,0,0,3,0,0
/api/placeholder/40/40,0,0,0,0,1,0,0
/author/greatmarketing/,0,0,0,0,2,0,0
/author/h2oplumbing/,0,5,0,0,15,0,0
/author/h2oplumbing/page/2/,0,3,0,0,9,0,0
/author/sr-adminskv1/,0,0,0,0,3,0,0
/bcc/,0,1,0,0,2,0,0
/boilermate-installation-and-service/,0,34,0,0,112,0,0
/category/all/,0,5,0,0,14,0,0
/category/fixtures/,0,4,0,0,6,0,0
/category/repiping/,0,5,0,0,9,0,0
/category/water-heaters/,0,8,0,0,23,0,0
/cdn-cgi/l/email-protection,0,1,0,0,3,0,0
/contact-h2o/,0,3,0,0,9,0,0
/contact-us/,0,332,0,0,879,0,0
/contact/,0,2,0,0,10,0,0
/coupons/,0,2,0,0,33,0,0
/cpanel,0,0,0,0,3,0,0
/drain-cleaning-services/,0,0,0,0,1,0,0
/drain/,0,161,0,0,476,0,0
/drain/47.128.21.101,0,0,0,0,1,0,0
/drainc/,0,77,0,0,228,0,0
/h2o-plumbing-customer-reviews/,0,6,0,0,21,0,0
/h2o-plumbing-services/,0,4,0,0,13,0,0
/h2o-specials/,0,87,0,0,272,0,0
/leadership,0,1,0,0,3,0,0
/leaky-faucets-and-valve-issues/,0,4,0,0,12,0,0
/myh2o/,0,39,0,0,118,0,0
/pagead/aclk,0,3,0,0,9,0,0
/piping-repair/,0,14,0,0,30,0,0
/plumbing-elements/,0,1,0,0,2,0,0
/plumbing-faq-vancouver-wa/,0,2,0,0,14,0,0
/plumbing-services/,0,0,0,0,1,0,0
/plumbing/,0,87,0,0,249,0,0
/plumbingcommercial/,0,16,0,0,32,0,0
/privacy-policy,0,4,0,0,12,0,0
/privacy-policy/,0,67,0,0,150,0,0
/project/,0,1,0,0,1,0,0
/repipe-services/,0,0,0,0,1,0,0
/repipespecialists/,0,20,0,0,51,0,0
/repipevancouverwa/,0,46,0,0,93,0,0
/repiping-project/,0,6,0,0,16,0,0
/resources/,0,7,0,0,21,0,0
/sitemap.html,0,1,0,0,1,0,0
/special-offers/,0,8,0,0,21,0,0
/tag/new-plumbing-pipe/,0,5,0,0,15,0,0
/tag/pex-pipe/,0,6,0,0,16,0,0
/team,0,1,0,0,3,0,0
/vancouver-wa-plumbing-faq,0,0,0,0,1,0,0
/vancouver-wa-plumbing-faq/,0,1,0,0,23,0,0
/vancouverf/,0,56,0,0,138,0,0
/vancouverrepair/,0,33,0,0,94,0,0
/vancouvers/,0,145,0,0,419,0,0
/vancouverw/,0,121,0,0,337,0,0
/vancouverwa/,0,132,0,0,369,0,0
/vancouverwater/,0,48,0,0,135,0,0
/water-heater-maintenance-a-step-by-step-guide/,0,6,0,0,16,0,0
/water-heater-maintenance/,0,5,0,0,18,0,0
/water-heater-test-post/,0,1,0,0,6,0,0
/wp-content/et-cache/613/et-core-unified-tb-651-tb-683-deferred-613.min.css,0,0,0,0,1,0,0
/wpadmin,0,0,0,0,3,0,0
