Date,Not indexed,Indexed,Impressions
2025-07-29,,,763
2025-07-30,,,587
2025-07-31,,,599
2025-08-01,78,12,524
2025-08-02,78,12,540
2025-08-03,78,12,549
2025-08-04,78,12,422
2025-08-05,78,12,432
2025-08-06,78,12,474
2025-08-07,78,12,428
2025-08-08,78,12,480
2025-08-09,78,12,469
2025-08-10,78,12,372
2025-08-11,78,12,453
2025-08-12,78,12,411
2025-08-13,78,12,471
2025-08-14,78,12,648
2025-08-15,78,12,464
2025-08-16,78,12,478
2025-08-17,78,12,461
2025-08-18,78,12,468
2025-08-19,78,12,430
2025-08-20,78,12,594
2025-08-21,78,12,489
2025-08-22,78,12,497
2025-08-23,78,12,475
2025-08-24,78,12,486
2025-08-25,78,12,463
2025-08-26,77,12,561
2025-08-27,77,12,643
2025-08-28,77,12,555
2025-08-29,77,12,610
2025-08-30,74,12,587
2025-08-31,74,12,679
2025-09-01,74,12,781
2025-09-02,74,12,641
2025-09-03,74,12,662
2025-09-04,74,12,537
2025-09-05,74,12,548
2025-09-06,74,12,535
2025-09-07,74,12,550
2025-09-08,74,12,513
2025-09-09,74,12,439
2025-09-10,74,12,345
2025-09-11,74,12,179
2025-09-12,74,12,60
2025-09-13,73,13,95
2025-09-14,73,13,172
2025-09-15,73,13,164
2025-09-16,65,13,144
2025-09-17,65,13,224
2025-09-18,65,13,132
2025-09-19,65,13,168
2025-09-20,75,12,106
2025-09-21,75,12,181
2025-09-22,75,12,149
2025-09-23,75,12,111
2025-09-24,75,12,80
2025-09-25,75,12,123
2025-09-26,75,12,84
2025-09-27,76,11,126
2025-09-28,76,11,166
2025-09-29,76,11,197
2025-09-30,76,11,190
2025-10-01,76,11,171
2025-10-02,76,11,98
2025-10-03,76,11,101
2025-10-04,76,11,134
2025-10-05,76,11,137
2025-10-06,76,11,238
2025-10-07,75,11,148
2025-10-08,75,11,149
2025-10-09,75,11,174
2025-10-10,75,11,112
2025-10-11,75,11,98
2025-10-12,75,11,114
2025-10-13,75,11,160
2025-10-14,75,11,168
2025-10-15,75,11,194
2025-10-16,75,11,171
2025-10-17,75,11,129
2025-10-18,75,11,103
2025-10-19,75,11,181
2025-10-20,75,11,189
2025-10-21,75,11,166
2025-10-22,75,11,213
2025-10-23,75,11,182
2025-10-24,75,11,118
