Country,Clicks,Impressions,CTR,Position
United States,405,80382,0.5%,42.79
Pakistan,9,366,2.46%,42
India,4,2316,0.17%,47.86
Philippines,3,528,0.57%,42.62
Canada,2,1922,0.1%,56.52
Nigeria,2,51,3.92%,48.27
France,1,880,0.11%,51.64
Bangladesh,1,304,0.33%,42.61
Colombia,1,303,0.33%,49.56
Singapore,1,172,0.58%,54.12
Dominican Republic,1,116,0.86%,51.84
Israel,1,84,1.19%,49.95
Brazil,0,9192,0%,48.91
Russia,0,4101,0%,49.99
United Kingdom,0,3161,0%,48.68
South Korea,0,2809,0%,49.66
Italy,0,2446,0%,51.57
Vietnam,0,1105,0%,51.52
Germany,0,991,0%,51.99
Argentina,0,709,0%,51.01
Mexico,0,707,0%,48.77
Lithuania,0,661,0%,51.81
Taiwan,0,530,0%,48.53
Turkey,0,523,0%,51.78
Ukraine,0,516,0%,50.78
Indonesia,0,484,0%,47.37
Malaysia,0,482,0%,48.62
Netherlands,0,455,0%,53.54
Spain,0,439,0%,52.28
South Africa,0,400,0%,47.58
Ecuador,0,390,0%,49.67
Egypt,0,368,0%,52.96
Japan,0,334,0%,54.02
Australia,0,291,0%,52.01
Poland,0,289,0%,50.3
Morocco,0,261,0%,47.97
Ireland,0,245,0%,51.54
Saudi Arabia,0,237,0%,49.53
Venezuela,0,231,0%,49.29
Unknown Region,0,198,0%,49.76
Iraq,0,195,0%,49.15
Sweden,0,169,0%,50.13
Chile,0,161,0%,52.09
Peru,0,154,0%,50.6
Romania,0,135,0%,49.66
Thailand,0,130,0%,49.44
Latvia,0,130,0%,50.89
Tunisia,0,130,0%,51.23
Bulgaria,0,125,0%,48.02
Trinidad & Tobago,0,120,0%,51.27
Algeria,0,115,0%,48.96
Iran,0,109,0%,49.5
Paraguay,0,107,0%,48.21
Cyprus,0,107,0%,48.47
Uzbekistan,0,101,0%,45.9
Jamaica,0,100,0%,46.38
United Arab Emirates,0,100,0%,49.54
Nepal,0,91,0%,51.92
Portugal,0,90,0%,53.29
Uruguay,0,86,0%,47.36
Jordan,0,82,0%,47.84
Kazakhstan,0,80,0%,48.19
Belarus,0,76,0%,45.04
Kenya,0,76,0%,46.78
Czechia,0,69,0%,43.23
Greece,0,69,0%,52.07
Serbia,0,68,0%,43.82
New Zealand,0,68,0%,52.37
Barbados,0,68,0%,52.88
Switzerland,0,67,0%,49.21
Finland,0,67,0%,50.46
Hungary,0,63,0%,49.9
Hong Kong,0,61,0%,49.13
Azerbaijan,0,60,0%,48.1
Norway,0,55,0%,47.89
Belgium,0,55,0%,53.58
Georgia,0,53,0%,52.42
Moldova,0,52,0%,52.08
Costa Rica,0,51,0%,41.45
Austria,0,51,0%,48.47
Bolivia,0,49,0%,44.35
Bosnia & Herzegovina,0,49,0%,54.71
Denmark,0,48,0%,53.56
Albania,0,44,0%,47.02
Kuwait,0,43,0%,50.47
Oman,0,41,0%,45.71
Senegal,0,40,0%,43.48
Bahamas,0,40,0%,54.17
Bahrain,0,38,0%,47.32
Guatemala,0,37,0%,35.51
Panama,0,36,0%,46.11
Honduras,0,35,0%,47.66
Croatia,0,35,0%,48.71
Syria,0,35,0%,51.97
Armenia,0,34,0%,45.65
Slovakia,0,31,0%,47.39
Lebanon,0,31,0%,49.32
Kyrgyzstan,0,30,0%,39.5
Sri Lanka,0,29,0%,49.9
Palestine,0,27,0%,49.81
Seychelles,0,27,0%,59.74
El Salvador,0,26,0%,41.85
Qatar,0,26,0%,56.92
Puerto Rico,0,25,0%,43.92
Cambodia,0,24,0%,34.75
Slovenia,0,21,0%,42
Macedonia,0,21,0%,46.48
Mongolia,0,21,0%,48.43
Angola,0,20,0%,38.85
Ethiopia,0,20,0%,51.05
Guyana,0,20,0%,51.35
Nicaragua,0,19,0%,46.32
Estonia,0,18,0%,43.89
Ghana,0,18,0%,48.61
Togo,0,16,0%,32.81
Belize,0,15,0%,47.67
Botswana,0,13,0%,34.46
Malta,0,13,0%,35.54
Suriname,0,12,0%,37.75
Côte d’Ivoire,0,12,0%,43.92
Mauritius,0,11,0%,34.64
Brunei,0,11,0%,47.55
China,0,11,0%,56.64
Myanmar (Burma),0,11,0%,61.18
Congo - Brazzaville,0,10,0%,41.6
Tanzania,0,10,0%,43.1
Cayman Islands,0,10,0%,43.8
Gabon,0,10,0%,48.1
St. Lucia,0,10,0%,77.7
Uganda,0,9,0%,43.89
Cape Verde,0,8,0%,46
Luxembourg,0,8,0%,47.12
Mali,0,8,0%,49.75
Grenada,0,7,0%,58
Andorra,0,7,0%,58.43
Somalia,0,7,0%,72.43
Burkina Faso,0,6,0%,36.67
Zambia,0,6,0%,40.83
Libya,0,6,0%,42.83
Sierra Leone,0,6,0%,57.5
St. Kitts & Nevis,0,6,0%,61
Maldives,0,5,0%,36.8
Haiti,0,5,0%,50.8
Jersey,0,5,0%,50.8
Curaçao,0,5,0%,51.8
Laos,0,5,0%,55
Réunion,0,5,0%,64.4
St. Vincent & Grenadines,0,4,0%,34.75
Afghanistan,0,4,0%,36.25
Antigua & Barbuda,0,4,0%,48.75
Iceland,0,4,0%,53.75
Congo - Kinshasa,0,4,0%,57
Aruba,0,4,0%,62.25
Yemen,0,4,0%,62.75
Montenegro,0,4,0%,63.75
Mozambique,0,4,0%,64.5
Tajikistan,0,3,0%,22.33
Rwanda,0,3,0%,29.33
Kosovo,0,3,0%,37.33
Malawi,0,3,0%,46.33
Guernsey,0,3,0%,55
Gibraltar,0,3,0%,62
British Virgin Islands,0,3,0%,95
Guam,0,2,0%,3
Liberia,0,2,0%,7.5
Fiji,0,2,0%,26
Macau,0,2,0%,26
Turks & Caicos Islands,0,2,0%,26
Isle of Man,0,2,0%,28
Anguilla,0,2,0%,32.5
Montserrat,0,2,0%,33
Western Sahara,0,2,0%,34
Gambia,0,2,0%,37.5
Bermuda,0,2,0%,38
Cuba,0,2,0%,66.5
Zimbabwe,0,2,0%,66.5
Sint Maarten,0,2,0%,77
Antarctica,0,1,0%,5
French Polynesia,0,1,0%,6
Sudan,0,1,0%,7
Northern Mariana Islands,0,1,0%,9
Comoros,0,1,0%,23
Guinea,0,1,0%,27
Dominica,0,1,0%,32
New Caledonia,0,1,0%,33
St. Barthélemy,0,1,0%,34
Namibia,0,1,0%,35
Papua New Guinea,0,1,0%,36
Guadeloupe,0,1,0%,39
