Date,Clicks,Impressions,CTR,Position
2025-10-26,0,162,0%,30.67
2025-10-25,1,118,0.85%,30.65
2025-10-24,0,182,0%,38.79
2025-10-23,1,213,0.47%,29.1
2025-10-22,2,166,1.2%,36.7
2025-10-21,0,189,0%,34.11
2025-10-20,1,181,0.55%,35.48
2025-10-19,0,103,0%,34.9
2025-10-18,0,129,0%,35.36
2025-10-17,2,171,1.17%,30.12
2025-10-16,2,194,1.03%,32.04
2025-10-15,0,168,0%,43.51
2025-10-14,4,160,2.5%,32.28
2025-10-13,1,114,0.88%,30.59
2025-10-12,0,98,0%,34.46
2025-10-11,0,112,0%,31.75
2025-10-10,4,174,2.3%,27.71
2025-10-09,1,149,0.67%,29.81
2025-10-08,2,148,1.35%,31.02
2025-10-07,1,238,0.42%,29.24
2025-10-06,4,137,2.92%,26
2025-10-05,2,134,1.49%,28.77
2025-10-04,0,101,0%,27.4
2025-10-03,1,98,1.02%,28.87
2025-10-02,1,171,0.58%,32.67
2025-10-01,1,190,0.53%,37.53
2025-09-30,0,197,0%,32.22
2025-09-29,1,166,0.6%,31.92
2025-09-28,0,126,0%,31.94
2025-09-27,0,84,0%,28.29
2025-09-26,0,123,0%,33.09
2025-09-25,4,80,5%,23.82
2025-09-24,0,111,0%,30.16
2025-09-23,1,149,0.67%,37.24
2025-09-22,1,181,0.55%,28.59
2025-09-21,0,106,0%,32.65
2025-09-20,0,168,0%,32.43
2025-09-19,0,132,0%,27.46
2025-09-18,3,224,1.34%,28.38
2025-09-17,0,144,0%,28.36
2025-09-16,2,164,1.22%,28.48
2025-09-15,1,172,0.58%,38.31
2025-09-14,0,95,0%,31.11
2025-09-13,0,60,0%,30.98
2025-09-12,3,179,1.68%,46.21
2025-09-11,1,345,0.29%,46.27
2025-09-10,1,439,0.23%,48.2
2025-09-09,0,513,0%,43.46
2025-09-08,3,550,0.55%,43.18
2025-09-07,0,535,0%,45.9
2025-09-06,0,548,0%,47.06
2025-09-05,1,537,0.19%,45.92
2025-09-04,0,662,0%,44.66
2025-09-03,1,641,0.16%,47.4
2025-09-02,4,781,0.51%,40.04
2025-09-01,1,679,0.15%,44.19
2025-08-31,0,587,0%,45.17
2025-08-30,1,610,0.16%,45.09
2025-08-29,3,555,0.54%,44.73
2025-08-28,0,643,0%,43.98
2025-08-27,3,561,0.53%,43.63
2025-08-26,1,463,0.22%,39.98
2025-08-25,2,486,0.41%,42.84
2025-08-24,1,475,0.21%,40.1
2025-08-23,0,497,0%,40.11
2025-08-22,3,489,0.61%,42.27
2025-08-21,1,594,0.17%,39.04
2025-08-20,1,430,0.23%,39.88
2025-08-19,0,468,0%,37.73
2025-08-18,3,461,0.65%,38.82
2025-08-17,1,478,0.21%,39.91
2025-08-16,0,464,0%,41.32
2025-08-15,2,648,0.31%,38.53
2025-08-14,1,471,0.21%,41.56
2025-08-13,1,411,0.24%,40.83
2025-08-12,4,453,0.88%,39.34
2025-08-11,4,372,1.08%,38.62
2025-08-10,3,469,0.64%,43.31
2025-08-09,0,480,0%,41.51
2025-08-08,0,428,0%,42.99
2025-08-07,1,474,0.21%,41.08
2025-08-06,2,432,0.46%,41.9
2025-08-05,0,422,0%,40.06
2025-08-04,2,549,0.36%,37.47
2025-08-03,0,540,0%,41.03
2025-08-02,0,524,0%,43.31
2025-08-01,1,599,0.17%,41.5
2025-07-31,0,587,0%,39.66
2025-07-30,1,763,0.13%,43.76
2025-07-29,0,874,0%,44.43
2025-07-28,0,894,0%,44.9
2025-07-27,0,854,0%,44.69
2025-07-26,1,906,0.11%,45.65
2025-07-25,1,857,0.12%,45.2
2025-07-24,2,983,0.2%,43.73
2025-07-23,2,679,0.29%,43.48
2025-07-22,3,1005,0.3%,40.39
2025-07-21,2,1085,0.18%,44.1
2025-07-20,0,926,0%,43.33
2025-07-19,0,646,0%,44.51
2025-07-18,0,478,0%,41.2
2025-07-17,1,544,0.18%,42.88
2025-07-16,5,550,0.91%,41.38
2025-07-15,2,478,0.42%,39.05
2025-07-14,2,441,0.45%,42
2025-07-13,0,498,0%,39.58
2025-07-12,0,627,0%,48.08
2025-07-11,3,843,0.36%,52.79
2025-07-10,1,634,0.16%,40.93
2025-07-09,0,467,0%,38.99
2025-07-08,1,527,0.19%,39.08
2025-07-07,4,503,0.8%,42.88
2025-07-06,2,429,0.47%,42.57
2025-07-05,1,483,0.21%,43
2025-07-04,0,495,0%,41.15
2025-07-03,2,463,0.43%,40.87
2025-07-02,3,401,0.75%,41.48
2025-07-01,2,450,0.44%,38.89
2025-06-30,2,379,0.53%,39.01
2025-06-29,0,414,0%,40.36
2025-06-28,1,440,0.23%,40.67
2025-06-27,3,402,0.75%,36.94
2025-06-26,0,440,0%,36.65
2025-06-25,1,469,0.21%,35.67
2025-06-24,1,401,0.25%,37.21
2025-06-23,0,486,0%,39.69
2025-06-22,0,392,0%,37.2
2025-06-21,1,383,0.26%,41.5
2025-06-20,0,371,0%,37.84
2025-06-19,0,456,0%,38.69
2025-06-18,1,386,0.26%,39.72
2025-06-17,2,394,0.51%,37.84
2025-06-16,2,450,0.44%,36.74
2025-06-15,0,396,0%,38.57
2025-06-14,0,376,0%,39.67
2025-06-13,2,395,0.51%,34.63
2025-06-12,3,414,0.72%,37.29
2025-06-11,0,310,0%,36.74
2025-06-10,1,383,0.26%,34.49
2025-06-09,2,341,0.59%,34.56
2025-06-08,0,381,0%,36.95
2025-06-07,0,329,0%,38.4
2025-06-06,2,300,0.67%,37.92
2025-06-05,2,509,0.39%,32.23
2025-06-04,1,339,0.29%,38.46
2025-06-03,1,427,0.23%,37.93
2025-06-02,0,345,0%,38.58
2025-06-01,0,452,0%,38.23
2025-05-31,1,404,0.25%,40.79
2025-05-30,0,478,0%,36.68
2025-05-29,2,409,0.49%,38.88
2025-05-28,3,342,0.88%,38.35
2025-05-27,4,399,1%,39.71
2025-05-26,2,333,0.6%,39.27
2025-05-25,0,396,0%,39.88
2025-05-24,0,352,0%,39.64
2025-05-23,1,390,0.26%,35.99
2025-05-22,0,376,0%,39.66
2025-05-21,3,334,0.9%,36.88
2025-05-20,0,500,0%,34.03
2025-05-19,1,353,0.28%,38.86
2025-05-18,0,342,0%,38.9
2025-05-17,0,395,0%,37.83
2025-05-16,2,299,0.67%,38.01
2025-05-15,0,403,0%,38.96
2025-05-14,2,339,0.59%,40.78
2025-05-13,5,352,1.42%,40.14
2025-05-12,0,311,0%,41.52
2025-05-11,0,430,0%,42.68
2025-05-10,0,368,0%,44.26
2025-05-09,2,381,0.52%,44.15
2025-05-08,2,403,0.5%,42.21
2025-05-07,2,359,0.56%,41.59
2025-05-06,1,359,0.28%,45.94
2025-05-05,3,409,0.73%,43.55
2025-05-04,0,384,0%,46.35
2025-05-03,1,474,0.21%,44.68
2025-05-02,0,375,0%,42.74
2025-05-01,1,459,0.22%,42.03
2025-04-30,2,365,0.55%,45.75
2025-04-29,0,410,0%,48.58
2025-04-28,2,334,0.6%,51.47
2025-04-27,1,403,0.25%,50.01
2025-04-26,0,365,0%,50.59
2025-04-25,1,334,0.3%,52.69
2025-04-24,1,402,0.25%,51.83
2025-04-23,2,347,0.58%,49.1
2025-04-22,2,335,0.6%,51.38
2025-04-21,0,320,0%,52.73
2025-04-20,0,329,0%,51.58
2025-04-19,1,328,0.3%,52.29
2025-04-18,3,297,1.01%,49.18
2025-04-17,1,346,0.29%,50.97
2025-04-16,1,267,0.37%,50.41
2025-04-15,3,404,0.74%,52.82
2025-04-14,1,427,0.23%,51.56
2025-04-13,0,282,0%,54.63
2025-04-12,0,322,0%,52.88
2025-04-11,0,330,0%,48.92
2025-04-10,2,349,0.57%,52.47
2025-04-09,3,293,1.02%,49.65
2025-04-08,0,405,0%,52.59
2025-04-07,5,300,1.67%,50.31
2025-04-06,0,328,0%,53.05
2025-04-05,0,389,0%,52.49
2025-04-04,2,238,0.84%,49.87
2025-04-03,0,366,0%,51.46
2025-04-02,1,346,0.29%,49.21
2025-04-01,1,374,0.27%,50.64
2025-03-31,0,358,0%,52.23
2025-03-30,0,265,0%,53.87
2025-03-29,0,274,0%,53.21
2025-03-28,3,248,1.21%,50.33
2025-03-27,3,359,0.84%,51.12
2025-03-26,4,279,1.43%,49.29
2025-03-25,3,331,0.91%,51.62
2025-03-24,3,350,0.86%,51.24
2025-03-23,1,281,0.36%,56.95
2025-03-22,2,310,0.65%,54.41
2025-03-21,0,288,0%,52.51
2025-03-20,0,305,0%,52.9
2025-03-19,1,253,0.4%,53.14
2025-03-18,1,292,0.34%,53.46
2025-03-17,1,268,0.37%,52.04
2025-03-16,2,213,0.94%,58.77
2025-03-15,1,256,0.39%,56.18
2025-03-14,1,214,0.47%,51.95
2025-03-13,0,229,0%,54.91
2025-03-12,1,225,0.44%,51.24
2025-03-11,0,298,0%,52.64
2025-03-10,1,332,0.3%,60.69
2025-03-09,1,278,0.36%,55.8
2025-03-08,2,269,0.74%,56.51
2025-03-07,1,271,0.37%,49.6
2025-03-06,4,339,1.18%,53.45
2025-03-05,2,262,0.76%,50.65
2025-03-04,0,328,0%,54.35
2025-03-03,6,357,1.68%,48.24
2025-03-02,2,284,0.7%,49.95
2025-03-01,1,324,0.31%,52.34
2025-02-28,3,299,1%,49.62
2025-02-27,1,355,0.28%,51.94
2025-02-26,1,272,0.37%,48.92
2025-02-25,1,328,0.3%,51.94
2025-02-24,3,296,1.01%,49.88
2025-02-23,1,270,0.37%,52.56
2025-02-22,1,305,0.33%,53.59
2025-02-21,2,277,0.72%,47.19
2025-02-20,1,385,0.26%,50.28
2025-02-19,1,372,0.27%,45.37
2025-02-18,0,362,0%,48.7
2025-02-17,3,304,0.99%,46.89
2025-02-16,0,323,0%,51.4
2025-02-15,0,349,0%,49.41
2025-02-14,2,352,0.57%,49.52
2025-02-13,1,415,0.24%,49.38
2025-02-12,0,322,0%,50.84
2025-02-11,3,389,0.77%,50.77
2025-02-10,5,396,1.26%,51.61
2025-02-09,0,360,0%,53.3
2025-02-08,2,376,0.53%,50.37
2025-02-07,2,390,0.51%,51.87
2025-02-06,2,362,0.55%,49.19
2025-02-05,2,330,0.61%,49.73
2025-02-04,1,336,0.3%,50.6
2025-02-03,2,383,0.52%,49.74
2025-02-02,1,331,0.3%,54.38
2025-02-01,1,348,0.29%,51.85
2025-01-31,2,338,0.59%,50.43
2025-01-30,2,371,0.54%,52.96
2025-01-29,1,313,0.32%,52.3
2025-01-28,1,438,0.23%,56.31
2025-01-27,2,430,0.47%,52.72
2025-01-26,0,376,0%,55.77
2025-01-25,0,387,0%,52.88
2025-01-24,1,398,0.25%,51.42
2025-01-23,2,407,0.49%,52.98
2025-01-22,2,377,0.53%,49.63
2025-01-21,5,424,1.18%,50.94
2025-01-20,0,392,0%,51
2025-01-19,0,365,0%,55.09
2025-01-18,0,315,0%,54.05
2025-01-17,0,337,0%,53.59
2025-01-16,0,252,0%,45.65
2025-01-15,2,242,0.83%,44.86
2025-01-14,1,311,0.32%,48.87
2025-01-13,2,293,0.68%,48.23
2025-01-12,0,241,0%,49.91
2025-01-11,1,297,0.34%,49.39
2025-01-10,1,276,0.36%,45.29
2025-01-09,0,334,0%,43.61
2025-01-08,0,295,0%,49.04
2025-01-07,1,285,0.35%,46.47
2025-01-06,1,248,0.4%,46.4
2025-01-05,1,298,0.34%,45.73
2025-01-04,0,235,0%,49.4
2025-01-03,0,277,0%,47.48
2025-01-02,3,352,0.85%,47.9
2025-01-01,1,253,0.4%,50.62
2024-12-31,2,234,0.85%,46.62
2024-12-30,2,278,0.72%,48.79
2024-12-29,0,223,0%,51.39
2024-12-28,2,209,0.96%,55.99
2024-12-27,1,251,0.4%,48.45
2024-12-26,1,237,0.42%,51.33
2024-12-25,1,201,0.5%,52.61
2024-12-24,0,230,0%,54.98
2024-12-23,0,193,0%,51.13
2024-12-22,0,216,0%,53.66
2024-12-21,1,226,0.44%,53.68
2024-12-20,2,230,0.87%,48.11
2024-12-19,0,236,0%,49.56
2024-12-18,2,225,0.89%,49.52
2024-12-17,0,209,0%,49.49
2024-12-16,2,203,0.99%,45.48
2024-12-15,1,186,0.54%,51.58
2024-12-14,0,169,0%,51.86
2024-12-13,3,187,1.6%,48.52
2024-12-12,1,251,0.4%,52
2024-12-11,0,170,0%,48.59
2024-12-10,2,209,0.96%,50.22
2024-12-09,1,218,0.46%,48.29
2024-12-08,0,176,0%,54.3
2024-12-07,0,162,0%,52.49
2024-12-06,1,210,0.48%,52.34
2024-12-05,0,293,0%,52.34
2024-12-04,2,210,0.95%,48.72
2024-12-03,2,234,0.85%,54.53
2024-12-02,3,215,1.4%,51.11
2024-12-01,2,182,1.1%,53.32
2024-11-30,0,197,0%,58.99
2024-11-29,1,202,0.5%,53.25
2024-11-28,0,221,0%,55.54
2024-11-27,0,205,0%,55.91
2024-11-26,1,203,0.49%,50.35
2024-11-25,1,217,0.46%,47.3
2024-11-24,0,217,0%,58.99
2024-11-23,0,161,0%,57.6
2024-11-22,3,202,1.49%,54.72
2024-11-21,1,234,0.43%,57.95
2024-11-20,2,175,1.14%,55.9
2024-11-19,1,182,0.55%,54.09
2024-11-18,0,213,0%,57.02
2024-11-17,3,175,1.71%,58.37
2024-11-16,0,159,0%,57.94
2024-11-15,1,223,0.45%,55.47
2024-11-14,4,231,1.73%,50.75
2024-11-13,0,172,0%,58.14
2024-11-12,2,209,0.96%,60.37
2024-11-11,0,141,0%,55.87
2024-11-10,1,161,0.62%,60.76
2024-11-09,1,209,0.48%,57.12
2024-11-08,0,158,0%,54.8
2024-11-07,3,181,1.66%,58.39
2024-11-06,0,171,0%,58.65
2024-11-05,3,182,1.65%,53.3
2024-11-04,1,219,0.46%,55.81
2024-11-03,0,227,0%,59.97
2024-11-02,0,173,0%,61.05
2024-11-01,0,206,0%,54.24
2024-10-31,0,239,0%,57.33
2024-10-30,1,178,0.56%,55.58
2024-10-29,2,194,1.03%,56.3
2024-10-28,2,213,0.94%,60.77
2024-10-27,0,174,0%,57.75
