Country,Clicks,Impressions,CTR,Position
United States,150,150045,0.1%,38.59
Pakistan,8,509,1.57%,41.14
Canada,4,2349,0.17%,53.47
Philippines,3,782,0.38%,36.03
India,2,3468,0.06%,41.22
Nigeria,2,83,2.41%,42.17
Colombia,1,538,0.19%,39.41
Australia,1,446,0.22%,45.38
Poland,1,373,0.27%,36.9
Macedonia,1,38,2.63%,40.11
Kosovo,1,6,16.67%,60
Brazil,0,16359,0%,38.14
Italy,0,5567,0%,50.91
Russia,0,5484,0%,37.16
United Kingdom,0,4767,0%,44.7
South Korea,0,3843,0%,36.15
Vietnam,0,1518,0%,41.46
France,0,1414,0%,48.22
Lithuania,0,1319,0%,48.28
Germany,0,1271,0%,46.3
Argentina,0,1182,0%,38.4
Mexico,0,989,0%,41.58
Indonesia,0,787,0%,39.38
Ukraine,0,713,0%,41.37
Ecuador,0,706,0%,39.14
Taiwan,0,677,0%,36.67
Malaysia,0,676,0%,39.41
Turkey,0,659,0%,42.59
South Africa,0,641,0%,39.19
Spain,0,616,0%,41.28
Bangladesh,0,538,0%,42.27
Netherlands,0,526,0%,36.21
Egypt,0,448,0%,41.46
Japan,0,433,0%,40.09
Morocco,0,415,0%,34.98
Venezuela,0,408,0%,40.27
Saudi Arabia,0,384,0%,42.24
Ireland,0,378,0%,45.14
Iraq,0,340,0%,41.8
Unknown Region,0,310,0%,39.03
Latvia,0,292,0%,50.06
Chile,0,261,0%,38.06
Paraguay,0,247,0%,39.34
Peru,0,222,0%,40.42
Dominican Republic,0,221,0%,43.43
Uzbekistan,0,217,0%,44.87
Trinidad & Tobago,0,214,0%,44.58
Tunisia,0,203,0%,41.66
Algeria,0,192,0%,41.5
Sweden,0,186,0%,37.6
Iran,0,185,0%,38.21
Jamaica,0,181,0%,42.8
Kazakhstan,0,175,0%,43.93
Thailand,0,173,0%,39.28
Nepal,0,170,0%,41.57
Bulgaria,0,168,0%,42.07
United Arab Emirates,0,162,0%,43.4
Uruguay,0,155,0%,42.28
Cyprus,0,149,0%,37.42
Romania,0,149,0%,42.45
Singapore,0,146,0%,40.74
Kenya,0,145,0%,37.33
Portugal,0,144,0%,41.01
Jordan,0,134,0%,43.79
Greece,0,127,0%,41.5
Barbados,0,122,0%,44.38
Moldova,0,115,0%,43.12
Belarus,0,108,0%,50.09
Israel,0,97,0%,44.67
Azerbaijan,0,90,0%,37.97
Switzerland,0,90,0%,43.08
Serbia,0,88,0%,39.77
Kuwait,0,86,0%,40.98
Panama,0,86,0%,46.07
New Zealand,0,85,0%,39.06
Hungary,0,81,0%,37.69
Czechia,0,80,0%,38.42
Belgium,0,80,0%,46
Austria,0,78,0%,42.65
Norway,0,77,0%,39.08
Costa Rica,0,76,0%,38.49
Georgia,0,73,0%,34.68
Finland,0,70,0%,36.76
Bolivia,0,68,0%,38.85
Bosnia & Herzegovina,0,67,0%,42.09
Oman,0,66,0%,46.11
Albania,0,64,0%,36.7
Bahrain,0,57,0%,37.4
Honduras,0,57,0%,41.18
Senegal,0,56,0%,40.11
Guatemala,0,56,0%,42.2
Palestine,0,55,0%,38.73
Puerto Rico,0,55,0%,43.47
Guyana,0,55,0%,44.13
El Salvador,0,50,0%,44.86
Syria,0,50,0%,50.48
Lebanon,0,49,0%,40.31
Bahamas,0,48,0%,45.23
Croatia,0,48,0%,47.81
Hong Kong,0,45,0%,51.71
Denmark,0,44,0%,44.25
Ethiopia,0,44,0%,44.39
Armenia,0,43,0%,44.81
Cambodia,0,41,0%,36.17
Côte d’Ivoire,0,41,0%,53.85
Ghana,0,38,0%,39.68
Qatar,0,38,0%,40.61
Nicaragua,0,38,0%,43.97
Slovenia,0,38,0%,44.76
Slovakia,0,37,0%,42.3
Kyrgyzstan,0,37,0%,49.7
Sri Lanka,0,34,0%,36
Belize,0,33,0%,43.03
Angola,0,29,0%,41.79
Suriname,0,26,0%,47.46
Togo,0,25,0%,40.92
Malta,0,23,0%,31.09
Gabon,0,23,0%,37.13
Mauritius,0,20,0%,39.55
Uganda,0,19,0%,38
Estonia,0,19,0%,41.58
China,0,19,0%,45.42
Mongolia,0,19,0%,47.74
Brunei,0,18,0%,36.33
Botswana,0,15,0%,38
Myanmar (Burma),0,14,0%,42.14
Cayman Islands,0,14,0%,47.5
Congo - Brazzaville,0,14,0%,53.79
St. Lucia,0,13,0%,33.69
Seychelles,0,13,0%,35.38
Libya,0,13,0%,41.38
St. Kitts & Nevis,0,13,0%,47.15
Grenada,0,12,0%,37.25
Iceland,0,12,0%,42.42
Burkina Faso,0,12,0%,47.42
Bermuda,0,12,0%,51.08
Antigua & Barbuda,0,11,0%,48.09
Mali,0,9,0%,33
British Virgin Islands,0,9,0%,35.11
Mozambique,0,9,0%,59.44
Tanzania,0,8,0%,32.62
Zambia,0,8,0%,39.38
Zimbabwe,0,8,0%,43.5
Cape Verde,0,8,0%,44
Rwanda,0,8,0%,46.25
Andorra,0,7,0%,26.14
Montenegro,0,7,0%,34
Anguilla,0,7,0%,40.86
Namibia,0,7,0%,47.71
Aruba,0,6,0%,32.17
Haiti,0,6,0%,34.33
Turks & Caicos Islands,0,6,0%,35.67
Yemen,0,6,0%,37.67
Isle of Man,0,6,0%,39.83
Macau,0,6,0%,43.33
Curaçao,0,6,0%,47.83
Luxembourg,0,5,0%,29.8
St. Vincent & Grenadines,0,5,0%,34.2
Somalia,0,5,0%,39
Sierra Leone,0,5,0%,40.8
Maldives,0,5,0%,43.6
Dominica,0,5,0%,45.6
Gibraltar,0,5,0%,55.6
Tajikistan,0,5,0%,66.6
Jersey,0,5,0%,70.4
Swaziland,0,4,0%,19.5
Laos,0,4,0%,22.5
Afghanistan,0,4,0%,25
Western Sahara,0,4,0%,37.5
Guernsey,0,4,0%,38
Bhutan,0,4,0%,38.75
Malawi,0,4,0%,39.75
Sint Maarten,0,4,0%,40.25
Cameroon,0,4,0%,48.75
Congo - Kinshasa,0,4,0%,49.25
New Caledonia,0,3,0%,25
Fiji,0,3,0%,26
Mauritania,0,3,0%,32.33
Martinique,0,3,0%,34.67
Guadeloupe,0,3,0%,35.67
French Guiana,0,3,0%,35.67
Madagascar,0,3,0%,39.33
French Polynesia,0,3,0%,39.33
Réunion,0,2,0%,25.5
Gambia,0,2,0%,27
Montserrat,0,2,0%,28
Guam,0,2,0%,28.5
Faroe Islands,0,2,0%,34.5
Turkmenistan,0,2,0%,42
Caribbean Netherlands,0,2,0%,72
Papua New Guinea,0,2,0%,82
Cuba,0,1,0%,4
Djibouti,0,1,0%,10
Benin,0,1,0%,19
São Tomé & Príncipe,0,1,0%,40
Comoros,0,1,0%,44
Guinea,0,1,0%,67
Lesotho,0,1,0%,73
San Marino,0,1,0%,74
Solomon Islands,0,1,0%,80
Monaco,0,1,0%,92
