Date,Clicks,Impressions,CTR,Position
2025-10-29,2,467,0.43%,32.96
2025-10-28,1,372,0.27%,33.2
2025-10-27,0,352,0%,30.43
2025-10-26,0,435,0%,35.4
2025-10-25,1,313,0.32%,35.73
2025-10-24,0,398,0%,35.54
2025-10-23,0,601,0%,26.16
2025-10-22,2,425,0.47%,32.2
2025-10-21,1,345,0.29%,31.44
2025-10-20,2,407,0.49%,28.8
2025-10-19,0,321,0%,30.91
2025-10-18,0,281,0%,27.22
2025-10-17,1,334,0.3%,27.57
2025-10-16,1,504,0.2%,31.4
2025-10-15,1,354,0.28%,35.58
2025-10-14,0,343,0%,26.55
2025-10-13,2,286,0.7%,26.72
2025-10-12,0,242,0%,26.73
2025-10-11,0,215,0%,24.32
2025-10-10,0,269,0%,27.91
2025-10-09,0,356,0%,23.48
2025-10-08,0,317,0%,30.47
2025-10-07,1,394,0.25%,26.05
2025-10-06,3,259,1.16%,20.24
2025-10-05,0,337,0%,25.8
2025-10-04,0,169,0%,20.09
2025-10-03,1,191,0.52%,21.81
2025-10-02,1,376,0.27%,26.36
2025-10-01,1,851,0.12%,66.78
2025-09-30,0,312,0%,25.86
2025-09-29,1,309,0.32%,25.37
2025-09-28,0,288,0%,29.17
2025-09-27,0,197,0%,25.22
2025-09-26,2,238,0.84%,19.68
2025-09-25,1,302,0.33%,27.95
2025-09-24,1,207,0.48%,25.62
2025-09-23,1,414,0.24%,35.44
2025-09-22,0,344,0%,32.38
2025-09-21,0,163,0%,21.71
2025-09-20,0,294,0%,32.94
2025-09-19,0,235,0%,34.11
2025-09-18,0,431,0%,31.14
2025-09-17,1,216,0.46%,23.64
2025-09-16,1,408,0.25%,27.24
2025-09-15,2,346,0.58%,49.04
2025-09-14,0,168,0%,24.58
2025-09-13,0,220,0%,42.44
2025-09-12,0,413,0%,41.58
2025-09-11,0,713,0%,40.66
2025-09-10,0,791,0%,42.63
2025-09-09,0,950,0%,41.45
2025-09-08,1,1016,0.1%,43.95
2025-09-07,0,1033,0%,43.11
2025-09-06,1,1070,0.09%,44.27
2025-09-05,1,1124,0.09%,44.64
2025-09-04,1,1356,0.07%,42.63
2025-09-03,0,1222,0%,46.37
2025-09-02,1,1282,0.08%,39.12
2025-09-01,1,1315,0.08%,40.33
2025-08-31,0,929,0%,43.47
2025-08-30,0,1145,0%,43.88
2025-08-29,1,982,0.1%,44.74
2025-08-28,1,1302,0.08%,44.14
2025-08-27,1,1080,0.09%,43.02
2025-08-26,2,831,0.24%,40.24
2025-08-25,0,885,0%,39.79
2025-08-24,0,832,0%,39.82
2025-08-23,0,891,0%,42.07
2025-08-22,1,844,0.12%,41.2
2025-08-21,1,1067,0.09%,42.21
2025-08-20,0,724,0%,42.37
2025-08-19,2,813,0.25%,40.55
2025-08-18,1,846,0.12%,43.12
2025-08-17,0,833,0%,42.5
2025-08-16,0,874,0%,40.65
2025-08-15,1,987,0.1%,41.38
2025-08-14,0,928,0%,40.79
2025-08-13,0,823,0%,40.65
2025-08-12,2,873,0.23%,41.8
2025-08-11,2,873,0.23%,41.65
2025-08-10,2,999,0.2%,42.06
2025-08-09,1,1165,0.09%,42.74
2025-08-08,1,993,0.1%,41.79
2025-08-07,1,1098,0.09%,40.53
2025-08-06,1,1028,0.1%,44.26
2025-08-05,2,1002,0.2%,41.37
2025-08-04,0,1209,0%,43.92
2025-08-03,0,1016,0%,43.94
2025-08-02,0,1058,0%,45.42
2025-08-01,0,1095,0%,42.71
2025-07-31,1,1192,0.08%,42.13
2025-07-30,0,975,0%,44.18
2025-07-29,0,953,0%,45.17
2025-07-28,1,970,0.1%,45.44
2025-07-27,0,969,0%,43.41
2025-07-26,0,1094,0%,45.02
2025-07-25,1,900,0.11%,44.89
2025-07-24,1,1116,0.09%,44.34
2025-07-23,2,863,0.23%,46.82
2025-07-22,3,995,0.3%,44.56
2025-07-21,0,984,0%,46.61
2025-07-20,0,843,0%,46.12
2025-07-19,1,957,0.1%,47.44
2025-07-18,1,803,0.12%,45.06
2025-07-17,1,1004,0.1%,45.35
2025-07-16,0,982,0%,44.41
2025-07-15,1,909,0.11%,45.75
2025-07-14,2,849,0.24%,43.67
2025-07-13,0,931,0%,45.93
2025-07-12,0,1088,0%,46.37
2025-07-11,1,1080,0.09%,46.31
2025-07-10,1,1176,0.09%,44.88
2025-07-09,2,898,0.22%,44.27
2025-07-08,1,1017,0.1%,44.27
2025-07-07,0,946,0%,46.47
2025-07-06,0,922,0%,43.55
2025-07-05,0,1034,0%,45.83
2025-07-04,3,955,0.31%,43.67
2025-07-03,0,999,0%,42.8
2025-07-02,1,896,0.11%,43.84
2025-07-01,1,1091,0.09%,42.53
2025-06-30,2,917,0.22%,43.73
2025-06-29,0,960,0%,42.4
2025-06-28,0,1038,0%,44.3
2025-06-27,1,821,0.12%,44.41
2025-06-26,0,1118,0%,40.07
2025-06-25,0,1008,0%,42.39
2025-06-24,1,991,0.1%,40.18
2025-06-23,2,1219,0.16%,41.73
2025-06-22,1,930,0.11%,42.04
2025-06-21,1,911,0.11%,43.1
2025-06-20,1,836,0.12%,43.06
2025-06-19,0,1010,0%,40.9
2025-06-18,1,687,0.15%,42.5
2025-06-17,1,816,0.12%,41.27
2025-06-16,0,972,0%,40.85
